Wok 4 Hunger,Punjabi Bagh,+91 8766299673,600,"22,CSC Market, Club Road, Punjabi Bagh Extension, New Delhi",West Delhi,"Takeaway, Delivery","wok 4 hunger new delhi menu, wok 4 hunger new delhi, wok 4 hunger menu, wok 4 hunger restaurant, wok 4 hunger punjabi bagh menu",6,Claim this listing,Not Available,"Home Delivery, Seating Not Available"
Sirula's Republic,"Sector 3, Noida",+91 9818183387,350,"A-26 Ground Floor, Sector 3, Noida",Noida,Quick Bites,"sirula's republic menu, sirula's republic noida, sirula's republic noida menu, sirula's republic restaurant, sirula's republic sector 3, noida menu",3,Claim this listing,Not Available,"Home Delivery, Seating Not Available, No Alcohol Available"
Rolls To Go,Janakpuri,+91 9205449227,500,"Janak Cinema, Janakpuri",West Delhi,Food Court,"rolls to go restaurant, rolls to go menu, rolls to go new delhi, rolls to go janakpuri menu, rolls to go new delhi menu",1,Claim this listing,Not Available,"Home Delivery, Wheelchair Accessible, Outdoor Seating"
Unique Snacks House,West Delhi,+91 8448752543,500,"C4E Market, Near Sarvodaya Kanya School, Janakpuri, Delhi",West Delhi,Food Truck,"unique snacks house new delhi, unique snacks house janakpuri menu, unique snacks house menu, unique snacks house new delhi menu, unique snacks house restaurant",0,Claim this listing,Not Available,"Home Delivery, Seating Not Available"
69 Bakers Street,Sushant Lok,+91 9971569559,450,"Queens Plaza, C Block, Sushant Lok, Gurgaon",Gurgaon (Gurugram),Delivery,"69 bakers street menu, 69 bakers street restaurant, 69 bakers street gurgaon menu, 69 bakers street gurgaon, 69 bakers street sushant lok menu",5,Claimed listing ,Not Available,"Delivery Only, Desserts and Bakes"
Gourmet Delights,Indirapuram,0120 4205367,300,"Shop G-1, Plot 589, Swarn Jayanti Park Road, Niti Khand 2, Indirapuram, Ghaziabad",Ghaziabad,Quick Bites,"gourmet delights indirapuram menu, gourmet delights ghaziabad, gourmet delights menu, gourmet delights restaurant, gourmet delights ghaziabad menu",1,Claimed listing ,Not Available,"Home Delivery, Seating Not Available, No Alcohol Available"
Smoothie Valley,Golf Course Road,0124 4569444,400,"G 11 Central Plaza Mall, Golf Course Road, Gurgaon",Gurgaon (Gurugram),Caf,"zomato.com, smoothie valley, smoothie valley gurugram location, central plaza mall ggn image g 11 smoothie, smothiee valley golf course road",0,Claimed listing ,"Sandwiches, Chocolate Shake, Chocochip Waffles, Berry Smoothie, Blueberry Waffles, Paneer Sandwich, Chicken Sandwich","Breakfast, Home Delivery, No Alcohol Available"
Subway,Connaught Place,011 41524101,500,"P-3/90, Opposite Rivoli Cinema, Baba Kharak Singh Marg, Connaught Place, New Delhi",Central Delhi,Quick Bites,"zomato subway menu, subway in cp, subway cp menu, subway delhi recommended dishes, subway hot dog in cannaught palace",0,Claim this listing,"Sandwiches, Sandwich, Salads, Salad, Burgers, Veggie Delight","Home Delivery, No Alcohol Available"
Punjabi Tadka Corner,Vijay Nagar,+91 9654063425,300,"195 A, Old Gupta Colony, Vijay Nagar, New Delhi",North Delhi,"Takeaway, Delivery","punjabi tadka corner new delhi, punjabi tadka corner new delhi menu, punjabi tadka corner vijay nagar menu, punjabi tadka corner restaurant, punjabi tadka corner menu",2,Claim this listing,Not Available,"Breakfast, Home Delivery, Seating Not Available"
Chuni Lal Sweets & Namkeen,Karol Bagh,+91 9899999063,100,"98-A, Desh Bandhu Gupta Market, Karol Bagh, New Delhi",West Delhi,Sweet Shop,"chuni lal sweets namkeen new delhi delhi, 1, chuni, gar k gala m chuni lal, chuni lal sweets & namkeen menu",18,Claimed listing ,Not Available,"Home Delivery, Seating Not Available, Vegetarian Only, No Alcohol Available, Desserts and Bakes"
Street Food Corner,"Sector 50, Gurgaon",+91 8377006668,300,"Nirvana Courtyard Market, Nirvana Country, Sector 50, Gurgaon",Gurgaon (Gurugram),Quick Bites,"street food corner gurgaon, street food corner sector 50, gurgaon menu, street food corner nirvana countrt, street food corner menu, food corner gurugrammenu",6,Claim this listing,"Palak Patta Chaat, Ragda Patty, Choley Bhature","Home Delivery, Seating Not Available, No Alcohol Available"
The China Kitchen,Jasola,+91 9582736780,300,"Shop 21, Pocket A, DDA Market, Sukhdev Vihar, New Delhi",South Delhi,"Takeaway, Delivery","chinas kitchen sukhdev vihar new delhi, kitchen x video, china x video, china kitchen sukhdev vihar, x video kitchen",6,Claim this listing,Not Available,"Home Delivery, Seating Not Available, No Alcohol Available"
AL-Lazeez,Malviya Nagar,+91 8510071963,300,"U-1, Near Begam Pur Park, Begam Pur, Malviya Nagar, New Delhi",South Delhi,Quick Bites,"nagar nigam dwara 26 eateries in delhi, al lazeez, zomato al lazeez u1 begumpur park, al lazeez biryani shop in malviya nagar new delhi delhi, al lazeez malviya nagar",29,Claimed listing ,Not Available,"Home Delivery, No Alcohol Available, Self Service, Free Parking"
Qafila,Greater Kailash 1 (GK1),011 47420027,1000,"H-S-26 Kailash Colony Market, Greater Kailash 1 (GK1), New Delhi",South Delhi,Casual Dining,"qafila, qafila kailash colony new delhi delhi, qafila menu, gk 1 scoth griel, qafila menu gk 1",0,Claim this listing,"Dal Makhani, Momos, Cocktails, Butter Chicken, Mocktails, Rasmalai, Seekh Kebab",Home Delivery
Milqooz Cafe,Vijay Nagar,+91 8006556556,400,"100, Sant Kirpal Singh Marg, Old Gupta Colony, Vijay Nagar, New Delhi",North Delhi,Caf,"milqooz cafe in gtb nagar menu, milqooz cafe in gtb nagar dishes and cost menu, milqooz cafe, milqooz kaamla nagar, milqooz",0,Claimed listing ,"Burgers, Thick Shakes, Chocolate Shake, Peri Peri Fries, Coffee, Pasta, Brownie",No Alcohol Available
Bintang Sweet Thrills,Rajouri Garden,+91 9999219291,200,"Shop 1, 176-A, LIG Flats, Rajouri Garden, New Delhi",West Delhi,"Dessert Parlor, Quick Bites","bintang bintang film sweet sinner, sweetsinner new, bintang subhash nagr, bintang sweet thrills rajouri garden, bintang rajouri garden",0,Claimed listing ,"Chocolate Fudge, Mocktails, Ferrero Rocher Shake","No Alcohol Available, Desserts and Bakes"
Knight,Connaught Place,+91 9899744947,1600,"B-45/47, 1st Floor, Near PVR Plaza, Connaught Place, New Delhi",Central Delhi,"Casual Dining, Bar","castle 9, castle 9 cp, knight castle 9, 1, castle 9 knight connaught place",0,Claimed listing ,"Sea Food, Strawberry Delight, Roganjosh, Dal Makhani, Spring Roll, Chicken Dim Sum, Paneer Tikka","Full Bar Available, Smoking Area, Table booking recommended, Nightlife"
Cake Bake Shake,Vijay Nagar,+91 9999858737,450,"G 22 A, Vijay Nagar, New Delhi",North Delhi,"Caf, Bakery","cake bake shake menu with price, cake bake shake vijay nagar, cake bake shake, cake bake shake menu, cake bake shake delhi",0,Claimed listing ,"Burgers, Pasta, Pizza, Cup Cake, Nachos, Coffee, Salad","Breakfast, Home Delivery, No Alcohol Available, All Day Breakfast, Desserts and Bakes, Table booking recommended"
Apna Desi Thaat,Sector 49,+91 9650732646,400,"Near Omaxe Mall, P.D. Arcade, Sector 49, Near Sohna Road, Gurgaon",Gurgaon (Gurugram),Casual Dining,"desi thaat restaurant gurgaon, desi thaat sohna road, desi thath, apna desi thaat, desi thaat",0,Claimed listing ,"Paratha, Dal Makhani, Thali, Chicken Curry, Roti","Home Delivery, No Alcohol Available"
Fruit Bull,Punjabi Bagh,+91 9599777565,300,"12 NWA, Chisel 5th Floor, Club Road, Punjabi Bagh, New Delhi",West Delhi,"Beverage Shop, Quick Bites","fruit bull punjabi bagh, fruit bull new delhi menu, fruit bull menu, fruit bull new delhi, fruit bull punjabi bagh menu",1,Claim this listing,Not Available,"Home Delivery, No Alcohol Available, Rooftop"
Qureshi's Kabab Corner,Sector 49,+91 9560903287,650,"G-44/A, The Sapphire Mall, Opposite Orchid Petals, Sector 49, Gurgaon",Gurgaon (Gurugram),Quick Bites,"1, qureshi sapphire mall gurgaon, qureshi gurgaon, qureshi sohna road, qureshi sapphire",0,Claimed listing ,"Butter Chicken, Tandoori Chicken, Chicken Tikka, Tawa Chicken, Rolls, Kadhai Murgh","Home Delivery, No Alcohol Available, Outdoor Seating"
Indore Junction,DLF Phase 4,0124 4378828,250,"B 217, SuperMart 1, DLF Phase 4, Gurgaon",Gurgaon (Gurugram),Quick Bites,"indori junction, indore junction menu, indore junction dlf phase 4 menu, indore junction photo, indore junction image",0,Claimed listing ,"Poha, Jalebi, Noodles, Paneer Malai Kofta, Dahi Ke Kebab","Home Delivery, No Alcohol Available, Free Parking, Wifi, Smoking Area"
Eating Lovers,Tagore Garden,+91 9953604961,150,"Opposite Rajouri Garden Metro Station, Tagore Garden, New Delhi",West Delhi,"Takeaway, Delivery","eating lovers new delhi, eating lovers new delhi menu, eating lovers restaurant, eating lovers tagore garden menu, eating lovers menu",0,Claimed listing ,Not Available,"Breakfast, Home Delivery, Seating Not Available"
The Bombaykery,Safdarjung,+91 9599450631,300,"B-6/5, Ground Floor, Local Shopping Complex, Safdarjung, New Delhi",South Delhi,Bakery,"the bombaykery new delhi, the bombaykery new delhi menu, the bombaykery safdarjung menu, the bombaykery zomato sda delhi, the bombaykery menu",0,Claimed listing ,"Coffee, Nutella Cupcake, Cheesecake, Chocolate Mousse, Brownie","Home Delivery, Desserts and Bakes"
Afghan Delhi Restaurant,Saket,+91 8376863951,500,"36, Hauz Rani, Opposite Modi Hospital, Press Enclave Road, Saket, New Delhi",South Delhi,Casual Dining,"afghan delhi restaurant menu, afghan delhi restaurant restaurant, afghan delhi restaurant saket menu, afghan delhi restaurant new delhi, afghan delhi restaurant new delhi menu",4,Claim this listing,"Chicken Soup, Kadhai Murgh, Fish Kadhai, Fry Chicken",No Alcohol Available
R Zizhi,Pitampura,+91 9953218994,500,"100, Bannu Enclave, Road 42, Pitampura, New Delhi",North Delhi,Delivery,"r zizhi new delhi menu, r zizhi menu, r zizhi restaurant, r zizhi pitampura menu, r zizhi new delhi",3,Claimed listing ,Not Available,"Delivery Only, Desserts and Bakes"
Nutritious Nation,Greater Kailash 2 (GK2),011 41587722,900,"M-45, Main Market, Ground Floor, Greater Kailash (GK) 2, New Delhi",South Delhi,"Takeaway, Delivery","nutritious nation, nutrition nation, 1, nutritious nation gk2, nutritious nation menu",0,Claimed listing ,"Protein Smoothies, Salads, Burgers, Cajun Chicken Salad, Sandwich, Protein Shake, Sandwiches","Breakfast, Home Delivery, Seating Not Available, Serves Non Veg, No Alcohol Available"
Amritsari Chaap Wale,Amar Colony,+91 9891041313,300,"C-28, Shop 6, Amar Colony, New Delhi",South Delhi,"Takeaway, Delivery","amritsari chaap amar colony, 1, amritsari chaap wale amar colony, amritsari chaap wale lajpat nagar, amritsari chaap wale",99,Claimed listing ,"Momos, Achari Chaap, Masala Chaap, Afghani Chaap, Malai Chaap Roll","Delivery Only, Vegetarian Only, No Alcohol Available"
Burger Singh,GTB Nagar,011 33105456,300,"2516 Ground Floor, Hudson lane, GTB Nagar, New Delhi",North Delhi,Quick Bites,"burger singh restaurant, burger singh menu, burger singh new delhi, burger singh gtb nagar menu, burger singh new delhi menu",0,Claimed listing ,"Burgers, Punjab Chicken Burger, Keema Pav, French Fries","Home Delivery, No Alcohol Available"
Milkiyat Cafe,Rohini,+91 8587850020,500,"Shop 210, 2nd Floor, RG Complex, DC Chowk, Rohini, New Delhi",North Delhi,Caf,"knockout lounge rohini, milkiyat longe, milkiyat, milkiyat cafe, milkyat lounge in rohini",0,Claimed listing ,Not Available,No Alcohol Available
Andhra Biryani House,Sector 49,011 30806570,700,"Shop 161, The Sapphire Mall, Opposite Orchid Petals, Sector 49, Gurgaon",Gurgaon (Gurugram),Casual Dining,"andhra biryani house gurgaon haryana, 1, andhra biryani house, andhra biryani house menu, andhra biryani gurgaon",0,Claimed listing ,"Onion Pakoda, Andhra Biryani, Raita, Mirchi Bajji, Chilli Chicken, Hyderabadi Biryani, Vegetable Biryani","Home Delivery, No Alcohol Available, Outdoor Seating"
The Great Kabab Factory,Saket,011 33105190,1800,"1st Floor, MGF Metropolitan Mall, Saket, New Delhi",South Delhi,Casual Dining,"1, kabab factory saket, kabab factory, the great kabab factory saket, the great kabab factory",0,Claimed listing ,"Galauti Kebab, Biryani, Phirni, Gulab Jamun, Paan Ice Cream, Buttermilk, Dal Makhani","Home Delivery, Wheelchair Accessible, Full Bar Available, Free Wifi, Sports TV, Table booking recommended, Buffet, Group Meal, Wifi, Serves Cocktails, Resto Bar"
FatJar Cafe & Market,Kailash Colony,+91 9811613888,1600,"A 7, Kailash Colony, New Delhi",South Delhi,Caf,"fat jar kailash colony, fatjar cafe market, fatjar cafe & market new delhi, fatjar cafe & market menu, fatjar cafe & market kailash colony menu",0,Claimed listing ,"Pepperoni Pizza, Cheese Sandwich, Pesto Pasta, Margherita Pizza, Spanish Omelette, Pita Bread, Caffe Latte","Breakfast, Home Delivery, Serves Non Veg, No Alcohol Available"
Dosa Corner Hydrabadi Biryani,Karol Bagh,+91 9560241343,300,"14A/91, Gurunanak Market, Karol Bagh, Karol Bagh, New Delhi",West Delhi,"Takeaway, Delivery","dosa corner hydrabadi biryani karol bagh menu, dosa corner hydrabadi biryani new delhi, dosa corner hydrabadi biryani menu, dosa corner hydrabadi biryani new delhi menu, dosa corner hydrabadi biryani restaurant",1,Claim this listing,Not Available,"Breakfast, Home Delivery, Seating Not Available, No Alcohol Available"
Navab's,Tilak Nagar,+91 7065787888,600,"Shop 29, DDA Market Jail Road, Tilak Nagar, New Delhi",West Delhi,Delivery,"navab's new delhi, navab's menu, navab's tilak nagar menu, navab tilak nagar, navab's new delhi menu",0,Claimed listing ,"Dal Makhani, Afghani Chaap, Kadhai Paneer","Delivery Only, Seating Not Available, No Alcohol Available"
Abhi Bakers,Paharganj,+91 9899521531,400,"Paharganj, New Delhi",Central Delhi,Bakery,"abhi bakery, abhi bakery delhi, abhi central, abhi bakery noida, abhi",0,Claim this listing,Not Available,"Delivery Only, Seating Not Available, No Alcohol Available, Desserts and Bakes"
Peppers & Pipes,Pitampura,+91 9999045133,600,"Shop 8, SG Complex, GU Market, Pitampura, New Delhi",North Delhi,Quick Bites,"pepper and pipes, pepper and pipes pitampura, 1, peppers and pipes, peppers and pipes pitampura",0,Claimed listing ,"Chicken Momo, Chilli Potatoes, Red Sauce Pasta","Home Delivery, Serves Non Veg, No Alcohol Available"
Punjabi Swad,Netaji Subhash Place,+91 9891358811,500,"Shop G12, Ground Floor, P.P. Trade Centre, Netaji Subhash Place, New Delhi",North Delhi,Quick Bites,"punjabi swad new delhi, panjbi swad nsp, punjabi swad restaurant nsp netaji subhash place, punjabi swad menu, punjabi swad netaji subhash place menu",0,Claimed listing ,"Tawa Chicken, Chilli Paneer, Matar Paneer, Chicken Seekh Kebab","Home Delivery, No Alcohol Available"
Sunnyvale Fresh and Frozen,Indirapuram,+91 9717696954,300,"Shop 11, G.C. Grand Vaibhav Khand, Indirapuram, Ghaziabad",Ghaziabad,Meat Shop,"sunnyvale fresh frozen ghaziabad uttar pradesh, 1, fish pokda shop indrapuram, meat shop at gc grand indirapuram, sunnywale indirapuram",2,Claimed listing ,Not Available,"Home Delivery, Seating Not Available, No Alcohol Available"
Moradabadi Biryani,Kirti Nagar,+91 9582884460,300,"E 361, Double Storey, Ramesh Nagar, Near Kirti Nagar, New Delhi",West Delhi,Takeaway,"biryani in kirti nagar west delhi, 1, moradabadi biryani, veg biryani in kirti nagar, moradabadi biryani pics",14,Claim this listing,Not Available,"Takeaway Only, Seating Not Available, No Alcohol Available"
Afghan Degchi,Indirapuram,+91 8376913345,500,"Himaly Legend Apartment, Indirapuram, Ghaziabad, Delhi NCR",Ghaziabad,Casual Dining,"afghan degchi ghaziabad menu, afghan degchi indirapuram menu, afghan degchi restaurant, afghan degchi ghaziabad, afghan degchi menu",3,Claimed listing ,Not Available,No Alcohol Available
Aunty Chings Fast Food,Shalimar Bagh,+91 9205140102,300,"Shop 11, AL Market, Shalimar Bagh, New Delhi",North Delhi,"Takeaway, Delivery","aunty photos, auntys, aunty images, 1, aunty photo",5,Claim this listing,Not Available,"Home Delivery, Seating Not Available, Serves Non Veg, No Alcohol Available"
Chill'm Xpress,Delhi University-GTB Nagar,011 33105075,700,"Delhi University-GTB Nagar, New Delhi",North Delhi,Delivery,"cafe taxi - cheap liquor | best bar | restaurant | cafe in hudson lane delhi new delhi delhi, chillm, chillm express, taxi bar gtb nagar menu, chill m xpress",0,Claimed listing ,"Butter Chicken, Pav Bhaji, Dal Makhani, Hakka Noodles, Paneer Lababdar, Panneer Butter Masala, Nachos","Delivery Only, Seating Not Available, No Alcohol Available"
Open Oven,Malviya Nagar,011 41717133,250,"E-2/16, Malviya Nagar, New Delhi",South Delhi,"Bakery, Quick Bites","open oven new delhi delhi, 1, open oven menu, open oven, open oven malviya nagar",0,Claimed listing ,"Cup Cake, Brownie Fudge, Rum Ball, Lemon Tarts, Pie, Chocolate Truffle, Chocolate Tart","Home Delivery, Seating Not Available, No Alcohol Available, Desserts and Bakes"
Handi Masala Restaurant,Adchini,+91 8800547787,500,"101, DDA Market, Kalu Sarai, New Delhi",South Delhi,Quick Bites,"handi masala restaurant new delhi delhi, handi masala hauz khas, handi masala, handi masala kalu sarai, 1",47,Claimed listing ,Not Available,"Home Delivery, No Alcohol Available"
Shawarma Buzz Rolls,Tagore Garden,+91 9953166009,200,"D-525, Block D, Tagore Garden, New Delhi",West Delhi,Delivery,"shawarma buzz rolls new delhi menu, shawarma buzz rolls, shawarma buzz rolls new delhi, shawarma buzz rolls tagore garden menu, shawarma buzz rolls menu",2,Claim this listing,Not Available,Delivery Only
SGF - Spice Grill Flame,Karol Bagh,+91 9718519990,500,"Building 3409, DB Gupta Road, Raigarpura, Karol Bagh, New Delhi",West Delhi,Quick Bites,"1, sgf chaap karol bagh, sgf karol bagh, spice grill flame, spice grill flame karol bagh",64,Claimed listing ,Rolls,"Home Delivery, Vegetarian Only, No Alcohol Available"
Baked Beauty,Rohini,+91 9711107755,500,"B-7/101, Rohini, New Delhi",North Delhi,Bakery,"best red velvet cake bakery in rohini delhi, 1, baked beauty rohini, baked beauty, red velvet cake order delhi rohini sector 3 zomato",30,Claim this listing,Not Available,"Delivery Only, Seating Not Available, Vegetarian Only, No Alcohol Available, Pre-Ordering Required, Desserts and Bakes, Home Baker"
Eggers Kitchen,DLF Phase 4,+91 8448271205,350,"Shop 17/18, New Mart, DLF Phase 4, Gurgaon",Gurgaon (Gurugram),"Takeaway, Delivery","eggers kitchen gurgaon menu, eggers kitchen gurgaon, eggers kitchen dlf phase 4 menu, eggers kitchen menu, eggers kitchen restaurant",0,Claimed listing ,Not Available,Home Delivery
Wat-a-Burger!,Greater Kailash 1 (GK1),011 33105448,350,"M-33, Near Yes Bank, Greater Kailash 1 (GK1), New Delhi",South Delhi,Quick Bites,"whataburger zomato gk 1, wat-a-burger! menu, watt a burger gk1 menu, wat a burger gk 1, wat-a-burger! greater kailash 1 (gk1) menu",0,Claim this listing,"Burgers, Rolls, Ferrero Rocher, Brownie, Falafel Wrap, Thick Shakes, Sandwiches","Home Delivery, No Alcohol Available"
Saini Restaurant,"Sector 17, Gurgaon",+91 9999927465,200,"1, Near IFFCO Chowk, Sukhrali, Sector 17, Gurgaon",Gurgaon (Gurugram),Quick Bites,"1, saini restaurant menu, restaurant in sukhrali gurgaon, saini restaurant sukhrali gurgaon, saini restaurant gurgaon haryana",4,Claim this listing,Not Available,"Breakfast, Home Delivery, Vegetarian Only, No Alcohol Available"
Roll Xpress,Janakpuri,011 41101216,300,"18/2, Shop 1, Jail road, Janakpuri, New Delhi",West Delhi,Delivery,"roll xpress new delhi menu, roll xpress menu, roll xpress restaurant, roll xpress new delhi, roll xpress janakpuri menu",0,Claimed listing ,Not Available,Delivery Only
Al-Malik,Greater Kailash 1 (GK1),+91 9312431133,600,"86, Zamrudpur, Auto Complex Road, Greater Kailash 1 (GK1), New Delhi",South Delhi,Quick Bites,"1, al malik east of kailash, al malik sant nagar, al zoya restaurant, al malik",29,Claim this listing,Not Available,"Home Delivery, No Alcohol Available"
New Aggarwal Sweet Corner,Janakpuri,+91 9818751010,100,"29-B, Raghu Nagar, Opposite Janak Cinema, Janakpuri, New Delhi",West Delhi,Sweet Shop,"new aggarwal sweet corner janakpuri, aggarwal sweet corner new delhi delhi, ragu.nagar.new.aggrwal, 1, new aggerwal sweet corner janakpuri new delhi",7,Claim this listing,Not Available,"Takeaway Only, Seating Not Available, Vegetarian Only, No Alcohol Available, Desserts and Bakes"
Chinese Corner,Sushant Lok,011 33106081,550,"GF-174, Vyapar Kendra, Sushant Lok, Gurgaon",Gurgaon (Gurugram),Quick Bites,"chinese corner menu, chinese corner sushant lok, chinese corner vyapar kendra, chinese corner, 1",0,Claimed listing ,"Noodles, Momos, Noodle, Crispy Honey Chicken, Lemon Chicken, Spring Roll, Sweet Corn Soup","Home Delivery, No Alcohol Available, Outdoor Seating"
Chatpata Panda,Sector 49,+91 7836831441,800,"175, 1st Floor, Sapphire Mall, Opposite Orchid Petals, Sector 49, Gurgaon",Gurgaon (Gurugram),Casual Dining,"chatpata panda menu, gurgaon chtpta panda restorent contcts, charpata tijara, chatpata panda facebook gurgaon gurgaon sapphire mall, chatpata panda",0,Claimed listing ,"Vegetable Biryani, Dahi Ke Kebab, Butter Chicken, Chilli Chicken, Momos, Paneer Tikka, Dal Makhani","Home Delivery, Wheelchair Accessible, No Alcohol Available, Smoking Area, Live Sports Screening"
Punjabi Rasoi,DLF Phase 3,+91 7042327916,300,"7/24 U Block, DLF Phase 3, Gurgaon",Gurgaon (Gurugram),Quick Bites,"punjabi rasoi dlf phase 3 menu, punjabi rasoi, punjabi rasoi gurgaon, punjabi rasoi gurgaon menu, punjabi rasoi menu",86,Claimed listing ,"Dal Makhani, Kadhai Paneer","Home Delivery, No Alcohol Available"
Pappu Dhaba,Model Town 1,+91 9810711347,150,"Near Model Town Metro Station, Model Town 1, New Delhi",North Delhi,Dhaba,"pappu model, pappu.miode, pappu.model, pappu mode, pappu.mode",2,Claim this listing,Not Available,"Wheelchair Accessible, No Alcohol Available"
The Nature Press,Pitampura,011 40214592,200,"DP-1, Muni Maya Ram Marg, Pitampura, New Delhi",North Delhi,"Takeaway, Delivery","the nature press pitampura, cafe in chisel pitampura, the nature press, the nature press pitampura menu, the nature press menu",0,Claimed listing ,"Salad, Garlic Bread, Chicken Grill","Home Delivery, Seating Not Available, No Alcohol Available"
HotMess,Connaught Place,011 43650783,1900,"M-11, Middle Circle, Connaught Place, New Delhi",Central Delhi,"Lounge, Casual Dining","hot mess, hot mess cp, 1, hotmess cp, hotmess",0,Claimed listing ,"Pizza, Cocktails, Jumbo Prawns, Mocktails, Salads, Potato Mash, Khau Suey","Full Bar Available, Live Music, Smoking Area, Valet Parking Available, Wifi, Nightlife, Live Sports Screening, Table booking recommended"
Funduz Cafe,Paharganj,011 23580777,300,"Shop 1655, Main Bazar, Paharganj, New Delhi",Central Delhi,"Takeaway, Delivery","fanduz cafe menu cafe, funduz cafe bikaner, funduz cafe, funduz cafe shamli, pics of funduz cafe bikaner",3,Claim this listing,Not Available,"Breakfast, Home Delivery, Seating Not Available, No Alcohol Available"
Chili Thai,Rajouri Garden,+91 9971470625,600,"4th Floor, Food Court, City Square Mall, Rajouri Garden, New Delhi",West Delhi,"Food Court, Quick Bites","chily restaurant in rajouri gardens, 1, chili thai new delhi delhi 110027, chilli thai restaurant in delhi, chili thai new delhi delhi",14,Claim this listing,Not Available,No Alcohol Available
